0,1,2,3,4,5,6
37.0,6.0,36.0,1915.88,2047.0,0.0,0.0
37.0,6.0,37.0,1906.12,1399.0,0.0,0.0
37.0,28.0,121.0,1925.81,4050.0,0.0,0.0
37.0,28.0,122.0,1899.19,5533.0,0.0,0.0
37.0,28.0,123.0,1890.75,5635.0,0.0,0.0
37.0,32.0,209.0,1139.81,13263.0,0.0,0.0
37.0,1.0,1.0,63.5625,102.0,0.0,0.0
37.0,3.0,16.0,51.0,97.0,0.0,0.0
37.0,3.0,19.0,1345.31,95.0,0.0,0.0
37.0,7.0,31.0,867.0,165.0,0.0,0.0
37.0,7.0,32.0,1901.81,1099.0,0.0,0.0
37.0,7.0,33.0,1912.5,966.0,0.0,0.0
37.0,7.0,34.0,1913.44,1539.0,0.0,0.0
37.0,7.0,35.0,84.0,3959.0,0.0,0.0
37.0,7.0,36.0,1924.31,1769.0,0.0,0.0
37.0,7.0,37.0,1930.88,854.0,0.0,0.0
37.0,7.0,38.0,1902.19,1193.0,0.0,0.0
37.0,7.0,46.0,1901.44,6138.0,0.0,0.0
37.0,7.0,47.0,1892.81,7464.0,0.0,0.0
37.0,27.0,100.0,1896.38,2915.0,0.0,0.0
37.0,27.0,101.0,1893.0,7144.0,0.0,0.0
37.0,27.0,102.0,1888.5,6954.0,0.0,0.0
37.0,27.0,103.0,1895.62,6583.0,0.0,0.0
37.0,27.0,104.0,1900.31,3153.0,0.0,0.0
